number,title,body
TAS000001,Надо починить sw1-dd-HR,
INC000001,Упал хост test2-srv-HR,
TAS000002,Сбой аплинка на sw2-core-DC,"На коммутаторе sw2-core-DC (S/N: C3850X-24T-L-9F3S1) flap’ит uplink Gi1/0/48 до agg1-DC (10.10.0.1). CRC растёт, интерфейс уходит в err-disable. Соседний sw1-core-DC (10.10.0.2) стабильный. Проверить оптику, заменить патчкорд, сравнить счетчики на agg1-DC и sw2-core-DC."
TAS000003,Высокий RTT к БД на srv-db-pg01,"Приложение жалуется на задержки к PostgreSQL. Хост: srv-db-pg01 (10.20.1.15, S/N: DL380-G10-SN9912). Средний RTT 120–150 мс с app01-web (10.20.2.11) и app02-web (10.20.2.12). На srv-db-pg01 iostat показывает высокие await на /dev/sda. Проверить диск, RAID-контроллер, возможен деград."
TAS000004,Не монтируется NFS на k8s-node03,"На k8s-node03 (10.30.3.23) поды не могут примонтировать PVC: NFS server nas-files01 (10.30.10.5) отвечает периодически. Логи kubelet: stale file handle. Соседние ноды k8s-node01/02 монтируются нормально. Проверить export на nas-files01, ACL по IP, заменить поды для проверки."
TAS000005,Повторные перезагрузки fw-edge01,"Firewall fw-edge01 (S/N: PA-3220-7X1ZKQ) ушёл в reboot дважды за ночь. В логах kernel panic (data abort) перед перезапуском. Второй узел кластера fw-edge02 (10.40.0.2) жив, но ha-state: active/active не совпадает. Проверить дампы crashinfo, сравнить политики синхронизации, убедиться в целостности конфигурации."
TAS000006,Потеря пакетов в VLAN 210 HR,"Пользователи HR жалуются на обрывы RDP. Трасса от hr-pc07 (10.50.210.37) до dc-hr1 (10.50.10.11) показывает 8–12% потерь на sw3-hr-access (10.50.210.2). На свитче sw3-hr-access счётчики input errors растут на Gi1/0/12 (S/N: C2960X-SN123A). Проверить патчкорд и порт, возможен дуплекс mismatch с hr-pc07."
TAS000007,VPN users не проходит аутентификацию,"AnyConnect клиенты получают Login failed. ASA: vpn-gw01 (172.16.0.10, S/N: ASA-5525-X-1AB2C) пишет в логах LDAP bind error. AD контроллер dc-main (172.16.0.5) отвечает на pings. Проверить учетку bind_user, срок действия пароля, доступ по TCP/389 и TCP/636 с vpn-gw01 до dc-main."
TAS000008,Ошибка бэкапа на backup-srv01,"Veeam job 'HR-DB-Nightly' падает на шаге 'Preparing storage'. Хост репозитория backup-srv01 (10.60.1.20, S/N: R730-SN44Z) логирует I/O error на volume /backup2. Предыдущий бэкап той же VM db-hr01 (10.20.1.17) успешен на /backup1. Проверить диски RAID-6, запустить патрульный rebuild или заменить диск slot 3."
TAS000009,Спайк CPU на ingress-lb01,"Ingress Nginx на ingress-lb01 (10.70.0.30, k8s node) подскакивает до 95% CPU, 502 для сервиса hr-portal. В dmesg есть soft lockup. На соседнем ingress-lb02 (10.70.0.31) нагрузки нет. Проверить affinity/anti-affinity, возможна утечка в sidecar istio-proxy. В логах hr-portal-pod упоминается зависание при обращении к redis01 (10.70.5.5)."
TAS000010,Обрыв репликации между pg-replica01 и pg-master01,"На pg-replica01 (10.20.1.25) walreceiver стоит, лаг 2.3 GB. master: pg-master01 (10.20.1.15). В логах: requested WAL segment has already been removed. Скорее всего архивация не успевает. Проверить wal_keep_size и наличие места на /pg_wal master’а. Ссылка на прошлый инцидент TAS000003 (повышенный RTT к БД)."
TAS000011,Подозрение на ARP spoofing в сети Dev,"Несколько dev-вм получили gateway MAC от неизвестного хоста 00:de:ad:be:ef:01. Подозрительный IP: 192.168.33.77, хост dev-winlab (S/N: VM-DEV-3344). Gateway dev-gw01 (192.168.33.1) в логах видит дубликаты. Проверить dhcp leases, arp table на sw-dev-core (192.168.33.2), возможно, включить arp inspection."
